fecha;Nº Art.;Nombre;Peso;Vel;Anillo;Bombeo;Corte;Proceso;Secciones;Palanca;Aguja;
30/8/2021;99043;POTE IBERIA 200 CC;105;106;1 3/8;7 1/2;270;PSDG;6 SECC;CORTA;BOLA;
31/8/2021;83711;MINI DULCE HEXAGONAL 40 CC;60;156;1 1/8;7 1/2;300;PSDG;6 SECC;CORTA;BOLA;
3/9/2021;81028;MINI DULCE REDONDO 40 CC;60;159;1 1/8;7 1/2;300;PSDG;6 SECC;CORTA;BOLA;
6/9/2021;81029;MINI DULCE REDONDO 28 CC;52;158;1 1/8;7 1/4;300;PSDG;6 SECC;CORTA;BOLA;
7/9/2021;82026;JÚPITER 120 CC;123;100;1 3/8;7 1/2;180;PSDG;5 SECC;CORTA;BOLA;
9/9/2021;99261;WILD COUNTRY 120 CC;122;106;1 3/8;7 1/2;180;SSDG;6 SECC;CORTA;BOLA;
11/9/2021;82015;ESCENCIA 180 CC;177;90;1 3/8;6;140;SSDG;6 SECC;CORTA;BOLA;
15/9/2021;82008;ESCENCIA 100 CC;126;94;1 3/8;7 1/2;150;SSDG;5 SECC;CORTA;BOLA;
20/9/2021;82005;ESENCIA 28 CC;33;164;1;7 1/4;300;SSDG;6 SECC;CORTA;BOLA;
22/9/2021;97156;PACO / NENITAS 30 CC;65;114;1;7 1/2;170;SSDG;6 SECC;CORTA;BOLA;
23/9/2021;76356;JARABE 100 CC;90;126;1 1/4;7 1/2;170;SSDG;6 SECC;CORTA;BOLA;
24/9/2021;70126;VIAL 100 CC;89;128;1 1/4;7 1/2;170;SSDG;6 SECC;CORTA;BOLA;
27/9/2021;97306;RÍO LINE 80 CC;99;110;1 1/4;7 1/2;210;SSDG;6 SECC;CORTA;BOLA;
27/9/2021;70107;VIAL 50 CC;54;164;1 1/4;7 1/4;170;SSDG;6 SECC;CORTA;BOLA;
30/9/2021;97233;PACO / NENITAS 70 CC;92;104;1 1/4;7 1/2;210;SSDG;6 SECC;CORTA;BOLA;
1/10/2021;81006;ANCHOERO 100 CC;86;118;1 1/4;7 1/2;210;PSDG;6 SECC;CORTA;BOLA;
5/10/2021;84403;POTE YOGURTH BEAUD 190 CC;136;120;1 1/2;7 1/2;210;PSDG;6 SECC;CORTA;1/2 CONO;
13/10/2021;81168;GIGANTE 1500 CC;665;24;2 3/4;3;35-45;PSCE;6 SECC;CORTA;1/2 CONO;
19/10/2021;81170;GIGANTE 1500 CC;665;24;2 3/4;3;35-45;PSCE;6 SECC;CORTA;1/2 CONO;
20/10/2021;81117;GIGANTE 3000 CC;1020;20;3 1/8;3;35-45;PSCE;5 SECC;LARGA;1/2 CONO;
11/11/2021;81119;GIGANTE 3000 CC;1020;20;3 1/8;3;35-45;PSCE;5 SECC;LARGA;1/2 CONO;
15/11/2021;38804;JARRA ACAPULCO;910;23;2 3/4;3;35-45;PSCE;6 SECC;LARGA;1/2 CONO;
23/11/2022;83219;JARRA DAYSAL 1250 CC;565;37;2 5/8;6;90;PSCE;6 SECC;LARGA;1/2 CONO;
24/11/2021;83790;EXPRIMIDOR DAYSAL 470 CC;290;41;2;6;130;PSSG;6 SECC;CORTA;1/2 CONO;
25/11/2021;30001;BIBERÓN DISPITA 250 CC;263;44;1 7/8;6;180;SSSG;6 SECC;CORTA;1/2 CONO;
26/11/2021;99301;BLUE BLAZER 100 CC;102;52;1 1/2;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
29/11/2021;96090;PARÍS 100 CC;165;46;1 1/2;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
30/11/2021;97354;NENITAS 90 CC;146;45;1 1/2;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
30/11/2021;97551;TIMELESS 50 CC;85;60;1 1/8;7 1/2;170;SSSG;6 SECC;CORTA;1/2 CONO;
1/12/2021;97681;I.H. 23 CC;50;68;1;7 1/4;170;SSSG;6 SECC;CORTA;1/2 CONO;
2/12/2021;99336;PUR BLANCA 50 CC;106;62;1 1/4;7 1/2;170;SSSG;6 SECC;CORTA;1/2 CONO;
6/12/2021;70095;VIAL 30 CC;37;156;1;7 1/4;300;SSDG;6 SECC;CORTA;BOLA;
9/12/2021;96008;RÍO LINE 70 CC;70;126;1 1/4;7 1/2;170;SSDG;6 SECC;CORTA;BOLA;
10/12/2021;82015;ESCENCIA 180 CC;173;102;1 1/2;6;150;SSDG;6 SECC;CORTA;BOLA;
15/12/2021;99141;MUJERCITAS 43 CC;74;118;1 1/4;7 1/2;170;SSDG;6 SECC;CORTA;BOLA;
16/12/2021;96097;RÍO LINE 120 CC;115;106;1 3/8;7 1/4;170;SSDG;6 SECC;CORTA;BOLA;
17/12/2021;67564;CAFÉ IRLANDES;175;76;1 3/8;12;150;PSDG;6 SECC;CORTA;BOLA;
18/12/2021;81006;ANCHOERO 100 CC;86;144;1 1/4;7 1/2;270;PSDG;6 SECC;CORTA;BOLA;
29/12/2021;84403;POTE YOGURTH BEAUD 190 CC;136;120;1 1/2;7 1/2;210;PSDG;6 SECC;CORTA;BOLA;
4/1/2022;81117;GIGANTE 3000 CC;1020;21;3 1/8;3;35;PSCE;5 SECC;LARGA;BOLA;
29/1/2022;81168;GIGANTE 1500 CC;665;31;2 3/4;6;90;PSCE;6 SECC;LARGA;1/2 CONO;
9/2/2022;76363;JARABE 1000 CC;543;37;2 1/8;6;90;SSSG;6 SECC;LARGA;1/2 CONO;
11/2/2022;35045;BIBERÓN 250 CC;220;55;1 5/8;6;180;SSSG;6 SECC;CORTA;1/2 CONO;
12/2/2022;97706;PASSION MEN;173;54;1 3/8;6;150;SSSG;6 SECC;CORTA;1/2 CONO;
14/2/2022;97202;I.H. 120 CC;180;52;1 3/8;6;150;SSSG;6 SECC;CORTA;1/2 CONO;
15/2/2022;96090;PARÍS 100 CC;162;48;1 3/8;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
16/2/2022;97695;CHESTER ICE 60 CC;110;60;1 3/8;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
17/2/2022;97717;AGOSTINA 60 CC;100;59;1 1/4;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
18/2/2022;99336;PUR BLANCA 50 CC;106;63;1 1/4;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
21/2/2022;97684;GERMAN D 50 CC;115;59;1 1/4;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
22/2/2022;97201;I.H. 60 CC;100;62;1 1/4;7 1/2;150;SSSG;6 SECC;CORTA;1/2 CONO;
23/2/2022;97509;SELECTA 440 CC;385;38;2;6;100;SSSG;6 SECC;CORTA;1/2 CONO;
24/2/2022;99371;EAU DE BOUQUET 50 CC;104;90;1 1/4;6;150;SSDG;6 SECC;CORTA;BOLA;
25/2/2022;82015;ESCENCIA 180 CC;173;106;1 1/2;6;150;SSDG;6 SECC;CORTA;BOLA;
2/3/2022;97547;LLUVIA DORADA 250 CC;265;62;1 7/8;6;90;SSDG;5 SECC;CORTA;BOLA;
3/3/2022;97307;PACO 90 CC;142;80;1 3/8;6;140;SSDG;6 SECC;CORTA;BOLA;
5/3/2022;76361;JARABE 250 CC;155;106;1 1/2;7 1/2;180;SSDG;6 SECC;CORTA;BOLA;
7/3/2022;97306;RÍO LINE 80 CC;105;106;1 1/2;7 1/2;180;SSDG;6 SECC;CORTA;BOLA;
8/3/2022;97996;LADY 50 CC;90;114;1 1/4;7 1/2;180;SSDG;6 SECC;CORTA;BOLA;
9/3/2022;97233;PACO / NENITAS 70 CC;92;102;1 1/4;7 1/2;180;SSDG;6 SECC;CORTA;BOLA;
10/3/2022;96008;RÍO LINE 70 CC;70;112;1 1/4;7 1/2;170;SSDG;6 SECC;CORTA;BOLA;
